Alt: 34354.14 m | T: 234.73 K | P: 630.28 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 307.11 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 34984.47 m | T: 236.47 K | P: 575.78 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 308.25 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 35615.18 m | T: 238.22 K | P: 526.33 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 309.38 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 36246.38 m | T: 239.97 K | P: 481.42 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 310.51 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 36877.25 m | T: 241.71 K | P: 440.65 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 311.64 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 37507.88 m | T: 243.46 K | P: 403.61 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 312.77 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 38137.44 m | T: 245.20 K | P: 369.98 Pa | D: 0.01 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 313.88 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 38765.99 m | T: 246.94 K | P: 339.41 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 314.99 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 39392.67 m | T: 248.67 K | P: 311.64 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 316.10 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 40017.56 m | T: 250.40 K | P: 286.38 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 317.19 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 40639.73 m | T: 252.12 K | P: 263.43 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 318.28 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 41259.26 m | T: 253.83 K | P: 242.54 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 319.36 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 41875.21 m | T: 255.53 K | P: 223.54 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 320.43 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 42487.63 m | T: 257.23 K | P: 206.24 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 321.49 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 43095.54 m | T: 258.91 K | P: 190.49 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 322.54 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 43699.00 m | T: 260.57 K | P: 176.15 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 323.57 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 44311.87 m | T: 262.27 K | P: 162.76 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 324.62 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 44934.35 m | T: 263.99 K | P: 150.29 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 325.68 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 45565.76 m | T: 265.73 K | P: 138.69 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 326.76 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 46206.29 m | T: 267.50 K | P: 127.91 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 327.84 m/s | V_w: [0.00, 0.00, 0.00] m/s
Alt: 46855.20 m | T: 269.29 K | P: 117.91 Pa | D: 0.00 kg/m³ | M: 0.03 kg/mol | Visc: 0.00 Pa s | V_a: 328.94 m/s | V_w: [0.00, 0.00, 0.00] m/s
